# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	27887
#@/user_id	nixos-ysun
bu yue pao 	不約炮	c=1 d=0.860708 t=27887
bu zai 	不再	c=4 d=1.20067 t=27887
bu zai 	不在	c=1 d=0.790571 t=27887
bu zai yi 	不在意	c=1 d=0.67032 t=27887
bu zheng chang 	不正常	c=1 d=0.965605 t=27887
bu zhi 	不止	c=1 d=0.951229 t=27887
bu zhi chi 	不支持	c=3 d=1.75852 t=27887
bu zhi dao 	不知道	c=21 d=3.76316 t=27887
bu zhi de 	不值得	c=1 d=0.843665 t=27887
bu zhong yao 	不重要	c=3 d=1.24873 t=27887
bu zhou 	步驟	c=2 d=1.06886 t=27887
bu zou 	步驟	c=0 d=0.0839457 t=27887
bu zou xiao 	不奏效	c=1 d=0.67032 t=27887
bu zou xiao 	步驟笑	c=1 d=0.899079 t=27887
bu zu gou 	不足夠	c=1 d=0.451581 t=27887
bu zuo 	不做	c=4 d=1.3641 t=27887
ca chu 	擦除	c=3 d=0.6226 t=27887
ca chu shi 	擦除式	c=2 d=0.88692 t=27887
cai 	才	c=17 d=3.08709 t=27887
cai 	猜	c=4 d=1.56247 t=27887
cai bao 	財報	c=2 d=0.716478 t=27887
cai bao hou 	財報後	c=1 d=0.715338 t=27887
cai cai 	猜猜	c=1 d=0.878095 t=27887
cai cai 	菜菜	c=1 d=0.985112 t=27887
cai dui 	纔對	c=1 d=0.909373 t=27887
cai hui 	纔會	c=2 d=0.97745 t=27887
cai hui qu 	纔回去	c=1 d=0.900325 t=27887
cai liao 	材料	c=1 d=0.909373 t=27887
cai neng 	才能	c=7 d=2.31524 t=27887
cai piao 	彩票	c=3 d=0.258711 t=27887
cai se 	彩色	c=2 d=1.36307 t=27887
cai shi 	纔是	c=5 d=1.36424 t=27887
cai xing 	纔行	c=1 d=0.782705 t=27887
cai yong 	採用	c=4 d=1.86502 t=27887
cai you kong 	才有空	c=1 d=0.873716 t=27887
cai zhi dao 	纔知道	c=1 d=0.715338 t=27887
can kao 	參考	c=21 d=5.31806 t=27887
can kao xia 	參考下	c=1 d=0.831104 t=27887
can le 	慘了	c=2 d=1.21003 t=27887
can shu 	參數	c=6 d=1.99649 t=27887
can shu liang 	參數量	c=1 d=0.625002 t=27887
can yu 	參與	c=2 d=1.29585 t=27887
can yue 	參閱	c=1 d=0.960789 t=27887
cang 	艙	c=1 d=0.794534 t=27887
cang 	藏	c=1 d=0.562705 t=27887
cang bai 	蒼白	c=1 d=0.66034 t=27887
cang ku 	倉庫	c=32 d=4.84806 t=27887
cang ku li 	倉庫裏	c=2 d=1.18384 t=27887
cang wei 	倉位	c=1 d=0.219808 t=27887
cao 	操	c=10 d=2.28738 t=27887
cao 	肏	c=2 d=1.2162 t=27887
cao 	草	c=1 d=0.532592 t=27887
